sample_id,task_id,domain,model,condition
BZ01__FULL__open_weight_qwen_main,BZ01,business,Qwen3-8B (ollama),FULL
BZ01__PUB-ABSENT__open_weight_qwen_main,BZ01,business,Qwen3-8B (ollama),PUB-ABSENT
BZ01__PRIV-ABSENT__open_weight_qwen_main,BZ01,business,Qwen3-8B (ollama),PRIV-ABSENT
BZ01__FULL__commercial_cn_deepseek,BZ01,business,DeepSeek-chat,FULL
BZ01__PUB-ABSENT__commercial_cn_deepseek,BZ01,business,DeepSeek-chat,PUB-ABSENT
BZ01__PRIV-ABSENT__commercial_cn_deepseek,BZ01,business,DeepSeek-chat,PRIV-ABSENT
BZ01__FULL__closed_global_strong,BZ01,business,GPT-4o (laozhang.ai),FULL
BZ01__PUB-ABSENT__closed_global_strong,BZ01,business,GPT-4o (laozhang.ai),PUB-ABSENT
BZ01__PRIV-ABSENT__closed_global_strong,BZ01,business,GPT-4o (laozhang.ai),PRIV-ABSENT
BZ02__FULL__open_weight_qwen_main,BZ02,business,Qwen3-8B (ollama),FULL
BZ02__PUB-ABSENT__open_weight_qwen_main,BZ02,business,Qwen3-8B (ollama),PUB-ABSENT
BZ02__PRIV-ABSENT__open_weight_qwen_main,BZ02,business,Qwen3-8B (ollama),PRIV-ABSENT
BZ02__FULL__commercial_cn_deepseek,BZ02,business,DeepSeek-chat,FULL
BZ02__PUB-ABSENT__commercial_cn_deepseek,BZ02,business,DeepSeek-chat,PUB-ABSENT
BZ02__PRIV-ABSENT__commercial_cn_deepseek,BZ02,business,DeepSeek-chat,PRIV-ABSENT
BZ02__FULL__closed_global_strong,BZ02,business,GPT-4o (laozhang.ai),FULL
BZ02__PUB-ABSENT__closed_global_strong,BZ02,business,GPT-4o (laozhang.ai),PUB-ABSENT
BZ02__PRIV-ABSENT__closed_global_strong,BZ02,business,GPT-4o (laozhang.ai),PRIV-ABSENT
BZ05__FULL__open_weight_qwen_main,BZ05,business,Qwen3-8B (ollama),FULL
BZ05__PUB-ABSENT__open_weight_qwen_main,BZ05,business,Qwen3-8B (ollama),PUB-ABSENT
BZ05__PRIV-ABSENT__open_weight_qwen_main,BZ05,business,Qwen3-8B (ollama),PRIV-ABSENT
BZ05__FULL__commercial_cn_deepseek,BZ05,business,DeepSeek-chat,FULL
BZ05__PUB-ABSENT__commercial_cn_deepseek,BZ05,business,DeepSeek-chat,PUB-ABSENT
BZ05__PRIV-ABSENT__commercial_cn_deepseek,BZ05,business,DeepSeek-chat,PRIV-ABSENT
BZ05__FULL__closed_global_strong,BZ05,business,GPT-4o (laozhang.ai),FULL
BZ05__PUB-ABSENT__closed_global_strong,BZ05,business,GPT-4o (laozhang.ai),PUB-ABSENT
BZ05__PRIV-ABSENT__closed_global_strong,BZ05,business,GPT-4o (laozhang.ai),PRIV-ABSENT
BZ09__FULL__open_weight_qwen_main,BZ09,business,Qwen3-8B (ollama),FULL
BZ09__PUB-ABSENT__open_weight_qwen_main,BZ09,business,Qwen3-8B (ollama),PUB-ABSENT
BZ09__PRIV-ABSENT__open_weight_qwen_main,BZ09,business,Qwen3-8B (ollama),PRIV-ABSENT
BZ09__FULL__commercial_cn_deepseek,BZ09,business,DeepSeek-chat,FULL
BZ09__PUB-ABSENT__commercial_cn_deepseek,BZ09,business,DeepSeek-chat,PUB-ABSENT
BZ09__PRIV-ABSENT__commercial_cn_deepseek,BZ09,business,DeepSeek-chat,PRIV-ABSENT
BZ09__FULL__closed_global_strong,BZ09,business,GPT-4o (laozhang.ai),FULL
BZ09__PUB-ABSENT__closed_global_strong,BZ09,business,GPT-4o (laozhang.ai),PUB-ABSENT
BZ09__PRIV-ABSENT__closed_global_strong,BZ09,business,GPT-4o (laozhang.ai),PRIV-ABSENT
TC01__FULL__open_weight_qwen_main,TC01,technical,Qwen3-8B (ollama),FULL
TC01__PUB-ABSENT__open_weight_qwen_main,TC01,technical,Qwen3-8B (ollama),PUB-ABSENT
TC01__PRIV-ABSENT__open_weight_qwen_main,TC01,technical,Qwen3-8B (ollama),PRIV-ABSENT
TC01__FULL__commercial_cn_deepseek,TC01,technical,DeepSeek-chat,FULL
TC01__PUB-ABSENT__commercial_cn_deepseek,TC01,technical,DeepSeek-chat,PUB-ABSENT
TC01__PRIV-ABSENT__commercial_cn_deepseek,TC01,technical,DeepSeek-chat,PRIV-ABSENT
TC01__FULL__closed_global_strong,TC01,technical,GPT-4o (laozhang.ai),FULL
TC01__PUB-ABSENT__closed_global_strong,TC01,technical,GPT-4o (laozhang.ai),PUB-ABSENT
TC01__PRIV-ABSENT__closed_global_strong,TC01,technical,GPT-4o (laozhang.ai),PRIV-ABSENT
TC02__FULL__open_weight_qwen_main,TC02,technical,Qwen3-8B (ollama),FULL
TC02__PUB-ABSENT__open_weight_qwen_main,TC02,technical,Qwen3-8B (ollama),PUB-ABSENT
TC02__PRIV-ABSENT__open_weight_qwen_main,TC02,technical,Qwen3-8B (ollama),PRIV-ABSENT
TC02__FULL__commercial_cn_deepseek,TC02,technical,DeepSeek-chat,FULL
