sample_id,task_id,domain,model,condition,s_ICMw_A,s_ICMw_B,s_ICMw,f_ICMw_A,f_ICMw_B,f_ICMw,Ddrift_A,Ddrift_B,Ddrift,Split,adjudication_note
BZ01__FULL__closed_global_strong,BZ01,business,GPT-4o (laozhang.ai),FULL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,auto_avg
BZ01__FULL__commercial_cn_deepseek,BZ01,business,DeepSeek-chat,FULL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,auto_avg
BZ01__FULL__open_weight_qwen_main,BZ01,business,Qwen3-8B (ollama),FULL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,auto_avg
BZ01__PRIV-ABSENT__closed_global_strong,BZ01,business,GPT-4o (laozhang.ai),PRIV-ABSENT,1.0,0.9,0.9,0.6,0.6,0.6,0.4,0.4,0.4,0.3,auto_avg
BZ01__PRIV-ABSENT__commercial_cn_deepseek,BZ01,business,DeepSeek-chat,PRIV-ABSENT,1.0,0.9,0.9,0.6,0.6,0.6,0.4,0.4,0.4,0.3,auto_avg
BZ01__PRIV-ABSENT__open_weight_qwen_main,BZ01,business,Qwen3-8B (ollama),PRIV-ABSENT,1.0,0.9,0.9,0.6,0.6,0.6,0.4,0.4,0.4,0.3,auto_avg
BZ01__PUB-ABSENT__closed_global_strong,BZ01,business,GPT-4o (laozhang.ai),PUB-ABSENT,1.0,0.9,0.9,0.9,0.8,0.9,0.1,0.2,0.2,0.0,auto_avg
BZ01__PUB-ABSENT__commercial_cn_deepseek,BZ01,business,DeepSeek-chat,PUB-ABSENT,1.0,1.0,1.0,0.9,0.9,0.9,0.1,0.1,0.1,0.1,auto_avg
BZ01__PUB-ABSENT__open_weight_qwen_main,BZ01,business,Qwen3-8B (ollama),PUB-ABSENT,1.0,0.9,0.9,0.9,0.8,0.9,0.1,0.2,0.2,0.0,auto_avg
BZ02__FULL__closed_global_strong,BZ02,business,GPT-4o (laozhang.ai),FULL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,auto_avg
